p cnf 	 20	 200
17	-13	16	0
11	17	-2	0
2	5	13	0
14	13	-19	0
8	17	18	0
2	-6	7	0
5	14	9	0
17	7	-2	0
12	13	20	0
18	-17	4	0
3	8	13	0
-20	3	18	0
-11	8	16	0
20	9	16	0
-1	5	6	0
19	9	2	0
-14	5	3	0
2	-6	20	0
7	16	1	0
19	3	7	0
12	-1	5	0
3	-14	9	0
4	-12	9	0
-7	1	9	0
6	2	9	0
7	5	16	0
14	16	3	0
-5	1	19	0
9	-17	12	0
19	15	1	0
10	-18	13	0
16	5	19	0
7	5	9	0
3	18	15	0
5	14	-13	0
8	17	15	0
-16	20	3	0
12	10	19	0
-6	10	8	0
7	10	19	0
15	-6	20	0
9	16	4	0
2	3	-15	0
2	-9	14	0
-3	4	18	0
-3	8	1	0
8	11	19	0
20	-18	11	0
11	5	16	0
7	-1	6	0
17	-12	2	0
16	17	19	0
4	9	17	0
4	-2	3	0
7	1	-6	0
20	17	-9	0
16	5	19	0
15	8	10	0
20	18	12	0
9	7	1	0
20	10	19	0
12	17	15	0
5	20	2	0
6	12	11	0
19	4	20	0
18	2	5	0
6	15	2	0
6	20	-11	0
10	1	-12	0
3	-11	1	0
2	3	-13	0
18	-9	5	0
1	15	4	0
-6	4	11	0
12	5	8	0
-8	18	13	0
19	4	7	0
-10	16	19	0
-19	13	18	0
7	-3	14	0
4	-1	20	0
3	15	14	0
9	20	7	0
9	-15	12	0
17	8	6	0
3	7	-20	0
-1	13	2	0
15	13	14	0
7	18	2	0
-7	13	10	0
4	7	19	0
7	18	9	0
18	-8	20	0
-17	7	19	0
8	-1	4	0
-2	8	-5	0
3	18	5	0
14	11	16	0
15	-7	19	0
-1	3	7	0
-9	11	16	0
2	12	9	0
2	17	12	0
14	1	18	0
14	16	8	0
20	-12	13	0
2	12	-17	0
4	13	19	0
5	6	-3	0
-1	10	17	0
15	20	13	0
-5	1	20	0
3	12	2	0
13	8	1	0
20	-18	9	0
16	1	14	0
10	20	-8	0
-2	1	10	0
4	16	-7	0
-10	5	8	0
6	9	14	0
19	13	9	0
10	14	19	0
6	-7	9	0
-19	16	7	0
4	9	18	0
18	7	6	0
13	16	20	0
-14	3	12	0
2	9	20	0
20	2	13	0
5	3	-20	0
2	16	12	0
10	14	12	0
19	9	17	0
-20	2	-4	0
19	-4	6	0
-11	12	5	0
15	1	-20	0
14	10	6	0
7	10	16	0
3	16	2	0
10	20	4	0
16	8	20	0
8	20	-18	0
-19	20	18	0
8	3	15	0
13	17	9	0
13	17	-9	0
19	8	9	0
10	-11	4	0
16	-17	19	0
1	13	19	0
5	7	14	0
4	-10	9	0
-3	7	17	0
6	10	-4	0
15	5	9	0
11	-19	1	0
2	-7	11	0
3	19	-8	0
9	10	14	0
12	-17	19	0
8	-13	6	0
10	-18	6	0
11	16	8	0
12	10	-7	0
6	-5	12	0
9	19	-2	0
6	19	14	0
3	-4	-15	0
2	16	-1	0
20	16	19	0
14	-11	8	0
2	5	-14	0
-17	7	1	0
12	19	4	0
6	14	10	0
20	4	6	0
-10	19	3	0
8	4	-15	0
1	13	14	0
12	-19	15	0
1	7	18	0
15	9	-18	0
17	11	-16	0
17	-4	12	0
19	6	-4	0
3	-6	15	0
17	4	13	0
6	13	4	0
-6	7	8	0
-19	17	5	0
-13	16	11	0
15	5	14	0
-20	5	8	0
17	18	-16	0
2	5	16	0
5	3	6	0
10	11	-14	0
